Title,API Title,Authors,Publisher,Published Date,Description,Page Count,Print Type,Categories,Average Rating,Ratings Count,Language
THE GREAT DANES Big Dogs Living Large︱Children's Animal Book︱Humorous Family Children's Book About Dogs Growing Up︱Unconditional Love & Compromise︱Self Acceptance & Individuality︱Ideal for Children Age 2 through 8,The GREAT DANES Big Dogs Living Large,['Shannon Scharkey'],,2022-12,"Meet The Great Danes! Life has suddenly changed. The once quiet peaceful home of Lola and Tristan Great Dane has become cramped with sixteen little paws running, playing, and learning about life.The problem? These are Great Dane puppies and Great Dane puppies grow fast! Readers will love living large with this adorable Great Dane family and watching them grow bigger and bigger until compromise is the only way to live as one big happy family. Living large is never easy, but with family it's always fun.",0.0,BOOK,[],,,en
Little Hippo Books Listen and Learn ABC Book | Preschool Educational Sound Books for Kids | Brilliant Baby Educational Books & Kids Books | Alphabet ABCs Book with Sounds,Learning My ABC's! A Little Baby & Toddler's First Alphabet Learning and Discovery Book. - Baby & Toddler Alphabet Books,['Baby Professor'],Speedy Publishing LLC,2017-02-15,"The discovery of new words can be a fun and memorable experience, both to parents and their kids. It’s a joy to hear the little ones speak and use new words every once in awhile. The purpose of this educational book is to enrich your child’s word prowess. It uses a combination of pictures and written word equivalent for maximum understanding. Get a copy now!",40.0,BOOK,['Education'],,,en
Stella and Her Magic Wand in London,Stella from Pella and Her Magic Shoe,['Morgan'],,2018-12-25,"*A young girl from Pella, Iowa defies the odds and is given a magical gift that will be sure to put a smile on your face.*",,BOOK,[],,,en
The Fairy Godmother Helps the Monarchs (The Fairy Godmother Next Door),The Fairy Godmother Helps the Monarchs,['Amy L. Stark Ph. D.'],Fairy Godmother Next Door,2019-03-27,"The magical story of young girls living next door to a fairy godmother continues with the addition of the girls' friends. The fairy godmother invites the children to explore her magical fairy garden. It is there the children find a butterfly garden in need of attention. The girls and their friends learn lessons about how to save caterpillars which will one day become Monarch butterflies. It is a magical story, rich in friendship and caring for others.",38.0,BOOK,['Juvenile Fiction'],,,en
"Happy Confident Me: Daily JOURNAL - Gratitude and Growth Mindset Journal that boosts children's happiness, self-esteem, positive thinking, mindfulness and resilience",Happy Confident Me,"['Nadim Saad', 'Annabel Rosenhead']",Happy Confident Company,2020-03-20,"10 weeks of simple, structured, 5 minute a day journaling, to help children reflect positively on their day. Increases self-belief, reduces worries and anxiety and promotes better sleep.",0.0,BOOK,[],,,en
"The Mosquito Burrito: A Hilarious, Rhyming Children's Book",The Mosquito Burrito,['Didi Dragon'],,2023-06-16,"A deliciously funny read-aloud about a mosquito with too big of an apetito! One day, Mosquito finds himself stuck inside a scrumptious burrito. But just as he's about to make his great escape, his stomach grumbles with hunger, ""Necesito some burrito!"". Little does Mosquito know that bite after bite will lead to an unexpected but hilarious ending. This lively tale, sprinkled with rhyming Spanish words, introduces young readers to the joy of language exploration. As Mosquito's escapades unfold, children will giggle at the playful integration of simple Spanish vocabulary. It's the perfect summer read-aloud for children ages 3-7!",0.0,BOOK,[],,,en
"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",My First Learn-to-Write Workbook,['Crystal Radke'],Rockridge Press,2019-08-27,"Help your little one build communication skills with the ultimate writing workbook for kids ages 3 to 5. Set kids up to succeed in school with a learn to write for kids guide that teaches them letters, shapes, and numbers―and makes it fun. My First Learn-to-Write Workbook introduces early writers to proper pen control, line tracing, and more with dozens of handwriting exercises that engage their minds and boost their reading and writing comprehension. This handwriting activity book includes: COMPREHENSIVE SKILL-BUILDING: As they explore these exercises, kids will build a strong foundation of reading comprehension, the alphabet, penmanship, and fine motor skills. 75+ PRACTICE PAGES: Tons of engaging pencil-on-paper activities like connect-the-dots and fill-in-the-blanks offer enough repetition for real learning but enough variety to keep kids interested. COLORFUL FUN: This workbook is full of helpful (and silly) pictures and illustrations that will spark kids’ imaginations and get them excited to keep practicing. Get your child on the path to success with an interactive book that helps them master early learning skills.",0.0,BOOK,['Juvenile Nonfiction'],,,en
Bluey: Easter,Bluey: Easter,['Bluey'],Penguin UK,2023-02-16,"Celebrate Easter with Bluey! It's Easter and Bingo is worried the Easter bunny has forgotten about her and Bluey like last year. But when they wake up to a series of clues, Bluey and Bingo are led on an exciting Easter egg treasure hunt around the house! Join Bluey and Bingo on this fun adventure around the Heelers' home. Want more Bluey? Also available: Bluey: Fun and Games Colouring Book Bluey: Meet Bluey! Sticker Activity Book Bluey: Bluey and Friends Sticker Activity Book",34.0,BOOK,['Juvenile Fiction'],,,en
Those Shoes,Those Shoes,['Maribeth Boelts'],Candlewick Press,2016-10-11,"But all the kids are wearing them! Any child who has ever craved something out of reach will relate to this warm, refreshingly realistic story. Features an audio read-along. ""I have dreams about those shoes. Black high-tops. Two white stripes."" All Jeremy wants is a pair of those shoes, the ones everyone at school seems to be wearing. But Jeremy’s grandma tells him they don’t have room for ""want,"" just ""need,"" and what Jeremy needs are new boots for winter. When Jeremy’s shoes fall apart at school, and the guidance counselor gives him a hand-me-down pair, the boy is more determined than ever to have those shoes, even a thrift-shop pair that are much too small. But sore feet aren’t much fun, and Jeremy comes to realize that the things he has -- warm boots, a loving grandma, and the chance to help a friend -- are worth more than the things he wants.",41.0,BOOK,['Juvenile Fiction'],,,en
The Jesus Storybook Bible: Every Story Whispers His Name,The Jesus Storybook Bible,['Sally Lloyd-Jones'],,2009-09-28,A collection of Bible stories invites young readers to discover that Jesus is the center of God's great story of salvation.,0.0,BOOK,['Audiobooks'],,,en
A Long Walk to Water: Based on a True Story,A Long Walk to Water,['Linda Sue Park'],Houghton Mifflin Harcourt,2010,"The New York Times bestseller A Long Walk to Water begins as two stories, told in alternating sections, about two eleven-year-olds in Sudan, a girl in 2008 and a boy in 1985. The girl, Nya, is fetching water from a pond that is two hours' walk from her home: she makes two trips to the pond every day. The boy, Salva, becomes one of the ""lost boys"" of Sudan, refugees who cover the African continent on foot as they search for their families and for a safe place to stay. Enduring every hardship from loneliness to attack by armed rebels to contact with killer lions and crocodiles, Salva is a survivor, and his story goes on to intersect with Nya's in an astonishing and moving way.",145.0,BOOK,['Juvenile Fiction'],5.0,1.0,en
Baking Up Love,Baking Up Love,"['ALAN. PAGE', 'Kamie Page']",,2025,"Esther and her mom are supposed to bake cupcakes after school this afternoon for tomorrow's Literacy Feast. But when Esther arrives home, her mom is still at work, and she finds Grandpa snoozing in his favorite reading chair. ""Grandpa! Wake up!"" Grandpa reassures a doubtful Esther that he does in fact know how to bake, a skill he learned from Esther's late grandmother. Grandpa and Esther bake, dance, and sing, filling the kitchen, and their hearts, with Grandma's special ingredient--love.",0.0,BOOK,['Juvenile Fiction'],,,en
Unicorns Love Ice Cream (Mythical Feasts),,,,,,,,,,,
Eleven Numbers: A Short Story,"The Dead Lock; a Story in Eleven Chapters. Also, Tales of Adventure, Etc",['Charles Manby SMITH'],,1863,,408.0,BOOK,[],,,en
Becoming a Follower of Jesus,Real,['Jamie Snyder'],Baker Books,2013-10-01,"""Would people know I'm a Christian if they didn't see me at church?"" This gut-check question was just what Jamie Snyder needed. Like many of us, he sensed his faith had become mechanical rather than meaningful, scheduled rather than passionate. Emboldened, Snyder set out to recapture the sold-out lifestyle of early followers of Jesus. Here he shares how to live the life Jesus desires of us, a life defined by Unbridled generosity Daring courage Rebellious joy Risky faith Relentless hope Scandalous grace Mad love Be challenged. Be encouraged. Be a 24/7 follower of Jesus. ""This book will inspire you to take risks and step outside your comfort zone."" --Kyle Idleman, author of Not a Fan",164.0,BOOK,['Religion'],,,en
Stellaluna,,[],,,,53.0,BOOK,[],,,en
Tuesday: A Caldecott Award Winner,Tuesday,['David Wiesner'],Houghton Mifflin Harcourt,1991,"Frogs rise on their lily pads, float through the air, and explore the nearby houses while their inhabitants sleep.",34.0,BOOK,['Juvenile Fiction'],,,en
"That's Why I Love You, Snicklefritz!",That's How Much I Love You,[],,,,0.0,BOOK,[],,,en
I Can Eat a Rainbow (Children's Book Collection),I Can Eat a Rainbow,['Annabel Karmel'],DK Publishing (Dorling Kindersley),2009,"Get your child eating all the colours of the rainbow with Annabel Karmel. From juicy red apples to bright green broccoli your pre-schooler will love this fun look at healthy fruit and vegetables from Annabel Karmel. Read it together and meet the colourful fruit and vegetable characters on each chunky tabbed page. Simple text will encourage them to try new foods, from yummy orange and delicious yellow to scrumptious purple and tasty blue food too! Parent notes give lots of nutritional facts and helpful advice on encouraging healthy eating. Perfect for turning fussy eaters into healthy eaters!",0.0,BOOK,['Board book'],,,en
